;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
0;Tammy Abraham;FW;Roma;23;37;36;3084;34.3;17;4;9;0;f586779e;Tammy AbrahamFWRoma;92;35;38.0;485.0;696.0;69.7;94.0;27.0;13;40.9;17.0;3.0;14.0;5;32.0;27.0;0.0;1050.0;49.4;86.0;41.0;38;17;16;49.4;;;;;
1;Francesco Acerbi;DF;Lazio;33;30;29;2536;28.2;4;0;2;1;b96b595c;Francesco AcerbiDFLazio;15;7;46.7;1837.0;2043.0;89.9;17.0;25.0;12;63.2;37.0;28.0;9.0;34;59.0;92.0;0.0;2289.0;66.7;13.0;4.0;18;4;3;61.6;;;;;
2;Michel Aebischer;MF;Bologna;24;12;4;443;4.9;0;0;1;0;f9c927de;Michel AebischerMFBologna;2;2;100.0;205.0;239.0;85.8;10.0;14.0;5;54.5;4.0;1.0;3.0;6;20.0;3.0;0.0;285.0;25.0;9.0;5.0;13;0;7;55.6;;;;;
3;Felix Afena-Gyan;MF;Roma;18;17;6;668;7.4;2;0;5;1;0154d290;Felix Afena-GyanFWMFRoma;17;7;41.2;114.0;152.0;75.0;23.0;10.0;3;57.1;4.0;0.0;4.0;3;13.0;0.0;0.0;271.0;25.0;42.0;21.0;15;4;8;42.3;;;;;
4;Kevin Agudelo;MF;Spezia;22;23;12;1237;13.7;3;1;2;1;46fa7204;Kevin AgudeloMFFWSpezia;21;11;52.4;280.0;389.0;72.0;40.0;44.0;26;35.0;22.0;0.0;22.0;8;52.0;6.0;0.0;574.0;54.9;40.0;37.0;36;0;22;51.7;;;;;
5;Ola Aina;DF;Torino;24;21;17;1437;16.0;0;0;4;0;246d153b;Ola AinaDFTorino;10;4;40.0;535.0;755.0;70.9;37.0;27.0;19;65.2;17.0;3.0;14.0;28;55.0;30.0;0.0;931.0;45.0;32.0;10.0;18;1;34;40.5;;;;;
6;Marley Aké;MF;Juventus;20;4;0;77;0.9;0;0;1;0;414e1f69;Marley AkéFWMFJuventus;0;0;;12.0;16.0;75.0;1.0;0.0;0;0.0;0.0;0.0;0.0;1;1.0;0.0;0.0;23.0;0.0;3.0;1.0;6;0;1;100.0;;;;;
7;Jean-Daniel Akpa-Akpro;MF;Lazio;28;10;4;315;3.5;0;0;1;0;fdf4b948;Jean-Daniel Akpa-AkproMFLazio;3;0;0.0;89.0;106.0;84.0;3.0;17.0;10;58.3;4.0;2.0;2.0;2;19.0;6.0;0.0;165.0;60.0;13.0;4.0;13;0;0;50.0;;;;;
8;Luis Alberto;MF;Lazio;28;34;27;2353;26.1;5;9;5;0;5294a83f;Luis AlbertoMFLazio;47;16;34.0;1626.0;1970.0;82.5;120.0;29.0;17;15.4;32.0;4.0;28.0;13;42.0;7.0;0.0;2163.0;61.4;29.0;23.0;13;1;143;33.3;;;;;
9;Giorgio Altare;DF;Cagliari;22;19;17;1466;16.3;1;0;5;0;aa5322d5;Giorgio AltareDFCagliari;18;6;33.3;531.0;799.0;66.5;27.0;39.0;28;80.8;17.0;5.0;12.0;30;69.0;70.0;0.0;993.0;80.0;6.0;3.0;35;1;27;57.5;;;;;
10;Wisdom Amey;DF;Bologna;15;1;1;71;0.8;0;0;0;0;35b4bc62;Wisdom AmeyDFBologna;0;0;;20.0;29.0;69.0;0.0;3.0;2;66.7;2.0;0.0;2.0;3;6.0;1.0;0.0;41.0;0.0;0.0;0.0;1;0;0;75.0;;;;;
11;Kelvin Amian;DF;Spezia;23;32;31;2646;29.4;1;1;9;2;bcc81786;Kelvin AmianDFSpezia;26;7;26.9;887.0;1133.0;78.3;33.0;66.0;42;73.2;39.0;21.0;18.0;32;98.0;75.0;0.0;1424.0;62.2;27.0;20.0;36;1;24;58.6;;;;;
12;Nadiem Amiri;MF;Genoa;24;13;9;683;7.6;0;1;0;0;555d5edd;Nadiem AmiriMFFWGenoa;16;6;37.5;222.0;299.0;74.2;30.0;6.0;4;22.2;7.0;0.0;7.0;0;6.0;0.0;0.0;403.0;41.4;33.0;13.0;7;1;20;30.0;;;;;
13;Ethan Ampadu;MF;Venezia;20;29;26;2282;25.4;0;3;13;2;10b9fa99;Ethan AmpaduMFDFVenezia;7;1;14.3;867.0;1165.0;74.4;45.0;67.0;43;41.4;49.0;19.0;30.0;51;118.0;76.0;0.0;1472.0;76.5;19.0;10.0;46;0;20;66.7;;;;;
14;Sofyan Amrabat;MF;Fiorentina;24;23;8;944;10.5;1;0;6;0;5a2cb25d;Sofyan AmrabatMFFiorentina;4;3;75.0;645.0;716.0;90.1;18.0;24.0;13;57.9;25.0;8.0;17.0;5;29.0;6.0;1.0;795.0;83.3;9.0;6.0;25;0;6;31.6;;;;;
15;Felipe Anderson;FW;Lazio;28;38;33;2888;32.1;6;8;2;0;9f1893b9;Felipe AndersonFWLazio;44;16;36.4;1118.0;1436.0;77.9;115.0;71.0;45;27.3;65.0;6.0;59.0;20;91.0;16.0;0.0;1858.0;53.7;88.0;38.0;43;7;86;35.5;;;;;
